hour,small_part,med_part,sulf_diox,nitr_diox,trioxygen,temp,pres,rain,wind,wind_sp,day,month,year,carb_monox
4,34,36,2,17,65,9.9,1012.1,0,NNW,3.3,4,May,2015,300
3,273,273,25,106,13,-4.5,1021.9,0,NNE,0.6,21,Dec,2016,6100
18,133,152,12,93,35.5572,10.1,1018.1,0,NNE,1,31,Oct,2014,1300
23,,,,,,6.1,1017.3,0,ENE,0.7,1,Nov,2016,1222.923
16,210,213,7,60,110,20.7,1005.8,0,ESE,1.7,19,Oct,2017,1700
19,112,154,38,84,1,0.4,1013.3,0,NW,0.5,6,Dec,2014,2100
10,18,18,3,36,47,20.7,1005.7,0,W,3.6,15,May,2017,400
21,226,288,22,133,,6.6,1013.1,0,NE,0.5,5,Nov,2014,3600
2,70,96,8,22,102,22.2,996,0,N,1.4,25,May,2016,800
21,100,100,23,42,35,5.3,1012.6,0,NE,0.7,11,Feb,2017,1800
23,18,18,2,47,2,15.7,1017.9,0,N,0.8,18,Sep,2017,400
18,21,38,2,22,91,26.3,996.6,0,WNW,2.3,25,May,2017,300
23,102,129,7,38,139,22.6,1006.6,0,SW,2.9,29,Apr,2016,900
3,3,12,3,13,15.6366,19.8,997.1,0,NNE,0.7,23,Jun,2014,1222.923
12,26,26,3,43,37,23.5,1000.7,0,ESE,1.7,23,Sep,2016,600
23,130,115,16,39,90,25.5,1001,0,SW,1.5,12,Jul,2014,900
16,46,79,12,46,155,29.6,1006,0,E,1.2,1,Sep,2014,800
21,82,82,38,73,10,-2,1025,0,NNW,1.2,1,Feb,2016,1600
11,29,113,3,64,9,20.9,1009.2,0,E,0.8,16,Sep,2015,600
3,13,13,2,13,30,17.2,1002.3,0,N,1.4,24,Sep,2017,300
12,80,147,10,57,4,8.3,1007.9,0,WSW,0.7,13,Nov,2017,1800
17,159,171,9,101,2,13.7,1009.7,0,SE,0.6,31,Oct,2015,3000
10,65,93,33,75,3,-0.3,1014.9,0,WNW,0.9,6,Dec,2017,2700
12,49,54,55,56,25,0,1023,0,SSE,1.2,17,Jan,2016,1200
21,77,146,29,57,132,28.8,997.1,0,SSW,1.3,25,Jul,2014,1700
20,22,22,2,10,131,20.8,998,0.4,WNW,1.5,18,Jul,2016,500
9,3,19,3,14,22,21.6,1005.1,0,S,0.9,10,Jun,2014,500
16,10,141,3,11,89,10.4,1004.2,0,NW,6.4,8,Apr,2014,300
6,111,116,14,78,1,3.6,1013.2,0,N,0,27,Oct,2014,1200
16,80,86,42,58,25,2.9,1022.9,0,SSW,0.8,23,Dec,2014,3700
8,111,147,101,87,84,5.1,1013.4,0,NNE,1.2,5,Mar,2014,2399
10,15,17,13,19,31,-1,1029.4,0,N,3.9,8,Jan,2015,600
7,118,118,2,67,10,28.1,1006.5,0,SSE,0.9,4,Aug,2017,1200
19,47,63,2,38,103,13.6,1003.3,0,S,3.1,3,Apr,2016,800
5,88,88,2,33,25,18.7,1000.1,0,NNE,0.7,8,Jun,2017,700
19,45,88,6,65,109,23,1006,0,NE,1,8,Sep,2016,1000
0,22,22,2,41,2,13.4,1017.7,0,NW,0.8,30,Sep,2016,600
14,19,34,13,28,54,20.8,1010.5,0,SSE,2.9,2,Nov,2016,400
10,23,35,36,27,30,1.3,1028.6,0,SSE,0.9,21,Jan,2015,800
5,111,111,7,31,48,23.2,1003.4,0,E,1.4,28,Jun,2016,600
18,200,200,48,139,30,0.675,1025,0,SW,0.6,25,Jan,2018,3300
18,6,9,11,21,34.4862,4,1020.3,0,N,1.1,18,Nov,2014,200
8,17,17,6,54,17,-4.5,1027.6,0,NNE,1.1,23,Dec,2017,600
6,151,151,2,68,12,10.7,1010.1,0,SW,0.5,11,Apr,2016,1400
19,243,243,7,136,7,17,1015.8,0,SW,0.6,20,Oct,2015,2100
8,15,44,3,40,24,10.2,1014.5,0,WNW,2.2,8,Oct,2017,600
9,27,27,2,27,54,11.2,1002.9,3.5,NE,1.3,11,May,2015,800
4,197,213,79,118,2,-3.4,1026.5,0,NE,0.8,14,Jan,2016,4200
2,157,147,72,76,11,-0.1,1010.3,0,ENE,1,2,Jan,2015,5100
20,56,141,13,81,99,21.7,1008,0,,0,10,Sep,2015,700
3,143,160,4,78,2,6.9,1013.5,0,ESE,2.2,14,Nov,2017,3100
15,8,15,2,9,89,19.2,1016.8,0,WSW,3.5,23,Mar,2016,300
8,108,201,41,78,10,5.8,1010.7,0,S,1.4,15,Mar,2016,1900
18,13,24,4,36,52,-3.2,1022.1,0,WNW,4.6,14,Feb,2017,700
12,249,249,48,146,5,4.2,1012.7,0,S,1.3,3,Jan,2018,5000
1,22,45,11,43,52,6,1008.9,0,NW,2.9,18,Feb,2017,600
2,114,96,32,60,11,-3.8,1019.1,0,NW,2,19,Feb,2015,1900
4,51,230,2,17,90,16.5,1008,0,NNE,1.8,14,Apr,2017,200
22,74,105,2.5704,20.7353,178.857,27.3,988.8,0,E,1.1,26,Jun,2014,1222.923
1,30,73,6,65,20,18.8,1010.4,0,WSW,0,22,Sep,2014,400
19,130,166,8,83,127,17.9,1009.3,0,E,0.4,30,Sep,2017,1200
18,34,86,6,65,21,16.4,1013.9,0,SE,3.2,18,Oct,2016,1200
21,36,36,2,56,7,9.3,1005.2,0.1,WNW,1.4,10,May,2016,1400
5,21,30,9,17,50,2,1006,0,WNW,1.7,11,Feb,2016,400
6,121,216,40,97,3,6.7,1007.1,0,NE,0.9,16,Mar,2016,2200
2,45,122,23,50,94,19.2,997.5,0,SW,1.2,31,May,2014,400
8,203,203,2,48,2,12,1003.7,0,NW,1,25,Oct,2015,2300
20,40,87,3,98,2,9,1021,0,WSW,1,3,Nov,2015,700
1,224,271,10,113,2,-3.6,1018.8,0,E,0.6,30,Dec,2016,4000
5,19,19,2,30,31,11.9,1011.3,0,NNW,1.9,17,Oct,2017,600
4,16,123,2,5,87,13.1,1002.3,0,WNW,5.6,16,Apr,2016,200
20,3,21,2,20,57,12.4,1011.5,0,SW,0.5,15,Oct,2015,300
9,22,42,5,56,13,23.5,1005.2,0,S,1.3,7,Sep,2016,400
4,123,115,6,23,43,27.3,994.2,0,NE,0,15,Aug,2014,900
17,154,215,39,,224,30.1,999.7,0,SW,2.2,15,Jun,2014,1100
15,42,88,13,27,143,27.3,1006.9,0,S,3.1,13,Sep,2015,400
23,32,68,2,55,49,29.8,1001.9,0,SSW,1.1,25,Jun,2017,500
16,148,151,12,33,81,23.9,1003.9,0,NNW,1.4,30,Aug,2015,2400
19,16,22,6,20,72,9.3,1012.6,0,NNE,2,25,Feb,2018,400
19,17,17,2,34,49,15,999.8,0.1,NW,5.1,23,May,2017,400
12,41,35,14,39,203,33.8,994.9,0,SW,3.5,6,Jul,2014,500
13,88,116,53,63,20,1.7,1031,0,S,1.4,26,Dec,2015,1800
0,63,63,2,31,124,24.8,998.4,6.9,WSW,2.7,30,Jul,2016,600
0,173,172,88,105,1,-5.6,1023.3,0,NE,0.9,12,Feb,2015,4100
2,146,153,,100,81,3.5,1004.8,0,N,0.7,6,Mar,2014,2399
4,56,56,2,35,12,6.8,1000,0,ESE,0.5,12,Apr,2017,700
23,90,90,2,19,111,23.4,999.1,0,NNE,1.3,21,Aug,2014,900
17,17,39,3,26,139,27.9,1001.1,0,NNE,2.7,1,Jun,2014,200
7,57,65,16,107,2,14.9,1010.3,0,NE,1.3,22,Apr,2015,800
20,79,79,2,39,48,20.9,997.3,0,ENE,1.5,28,Jun,2017,500
23,16,32,2,42,46,9.9,1026.1,0,N,2.3,24,Mar,2017,500
5,86,110,2,31,73,22.5,1001.3,0,N,0.5,20,Aug,2015,900
3,14,14,2,23,29,20,1009.6,0,NE,0.4,3,Sep,2016,400
10,65,87,5,33,139,27,994.8,0,SW,1.6,16,Jun,2015,800
19,8,68,2,14,47,1.3,1017.1,0,NNW,4.5,26,Nov,2014,400
0,12,33,6,22,30,-4,1025,0,NW,3.3,1,Jan,2016,600
4,31,37,9,18,84,24.6,998.2,0,N,1,4,Jun,2016,500
20,64,131,16,28,107,15.3,1008.3,0,ESE,2.6,5,Apr,2017,700
0,187,231,17,90,2,0.1,1022,0,WNW,0.6,29,Nov,2015,2300
1,377,397,94,136,1,0.7,1021.3,0,NE,1.2,25,Feb,2015,6500
8,169,176,40,104,2,-1.2,1002.6,0,NE,0.1,19,Feb,2018,2000
17,21,47,3,13,130,29,1008.1,0,NW,2.8,20,May,2016,200
11,15,66,12,42,14,12.5,1023.3,0,SSW,2.4,27,Oct,2015,700
7,18,40,21,66,6,-2,1022,0,NE,1.9,19,Jan,2016,1200
13,102,102,13,53,12,1,1015,0,WNW,0.9,20,Feb,2016,1500
0,91,91,9,26,163,28,1007.3,0,S,1.8,7,Jul,2017,2000
22,187,229,5,86,75,21.9,994.1,0.9,NNW,1.3,17,May,2016,1500
11,15,62,10,17,75,15.6,1011,0,WNW,3.4,21,Mar,2016,400
15,98,165,44,54,93,20.7,999.1,0,SE,1.3,15,Mar,2015,900
17,33,76,19,65,178,30,990.2,0,SW,1.8,18,Jun,2014,500
5,167,397,45,106,2,4.7,1004.8,0,S,0.5,17,Mar,2015,2000
0,68,144,21,91,2,8.1,1018.7,0,ENE,0.7,22,Oct,2015,1200
6,117,117,3,45,42,5.9,1011.6,0,NE,0.5,10,Apr,2016,1000
15,89,26,11,38,266,34.2,990,0,SSW,2.5,30,Jul,2014,700
3,40,50,5,24,43,9.4,1005.5,0,NNW,0.5,1,Apr,2015,800
5,17,46,7,39,41,16.8,996.9,0,NW,1.7,14,May,2016,200
23,293,331,11,86,3,8.2,1005.9,0,NNW,1.2,16,Mar,2016,2900
14,43,336,7,11,77,20.7,1005.1,0,WNW,5.4,17,Mar,2015,300
21,99,162,26,50,144,18.6,1003.6,0,ESE,2.3,27,Apr,2014,800
19,16,36,9,40,46,-0.2,1028.1,0,NW,2.6,6,Jan,2017,700
10,9,20,4,16,93,22.9,1003.2,0,WNW,2.9,25,May,2017,300
5,238,271,24,107,2,3.1,1020,0,NE,1.5,30,Nov,2015,3200
22,150,221,14,52,149,25.4,999.4,0,E,2,14,Jun,2014,1300
19,11,54,2,30,106,27.9,1003.8,0,NNE,1.2,26,Aug,2016,600
7,104,104,5,54,9,17.9,1002.6,0,ESE,2.7,26,Sep,2015,1900
8,63,84,2,58,20,26.7,996.3,0,NW,0.8,29,Jul,2017,1200
20,122,122,2,18,190,20.3,992.8,28.7,ENE,2.2,26,Jun,2016,700
6,6,15,6,24,39,14.9,1018,0,NNW,2.3,2,Oct,2014,200
20,11,11,2,62,17,21.5,992.6,0,WNW,1.8,3,Aug,2016,300
21,6,8,2,18,41,-2.6,1030.6,0,NNE,4.3,16,Dec,2016,500
18,112,149,8,58,101,23,1011.3,0,S,2.5,21,Sep,2015,1600
4,119,162,46,78,7,-1.5,1022.4,0,E,1,1,Mar,2017,3500
10,31,31,20,52,21,17.2,1022,0,NE,1.6,5,Nov,2015,700
17,284,325,60,157,9,0.3,1022.3,0,E,1,29,Dec,2016,4500
2,164,135,7.7112,60.3582,10.71,17.7,1010.3,0,N,0,30,Sep,2014,1222.923
12,12,12,5,18,73,3.7,1025.2,0,NW,1.9,4,Mar,2016,400
0,131,149,4,106,6,10.2,1014.1,0,W,0.5,11,Oct,2017,1500
5,39,51,31,41,1,-7,1020.7,0,NE,0.2,13,Dec,2014,1100
19,58,170,12,43,75,11.6,1007.5,0,SE,3.1,11,Apr,2017,400
16,13,49,8,10,104,21.7,1009,0,WNW,3.6,5,Apr,2015,300
13,67,68,60,60,18.6354,13,1016.6,0,S,1.7,22,Nov,2014,1300
19,28,59,13,72,2,5.4,1020,0,NE,1.2,27,Nov,2015,800
13,129,171,3,12,224,32.3,990,0,SE,1.3,6,Aug,2014,900
10,23,38,2,19,62,23.2,1003.7,0,NE,0.9,30,Aug,2016,500
16,15,15,2,13,134,33.2,1001,0,WSW,3,20,Aug,2016,300
12,38,52,6,29,148,31.4,1007.1,0,SW,1.4,9,Aug,2016,800
13,15,24,12,9,97,16.9,1019.9,0,N,2.8,26,Mar,2017,400
3,107,107,7,70,5,0,1017,0,SW,0.2,25,Jan,2016,1900
6,14,14,2,55,19,20.1,1001.1,0,ENE,1,12,Aug,2015,200
4,16,16,3,57,5,16,1005.3,0,ENE,1.1,3,Sep,2015,300
22,92,147,42,80,1.7136,5.4,1006.5,0,NW,0.1,15,Nov,2014,1200
9,16,36,12,51,38,2.7,1016.7,0,WSW,1.4,27,Feb,2017,700
9,3,64,6,37,41,23.6,998,0,S,0.9,4,May,2017,700
3,25,38,2,34,83,17.1,1002.5,0,NE,1.3,28,Apr,2016,600
2,119,119,23,47,3,19.6,1008.6,0,NNW,0.7,14,Sep,2017,900
6,87,102,9,54,7,4.3,1013,0,SW,0.7,5,Nov,2015,1700
19,84,184,23.7048,131,15,12.6,1009.6,0,NE,0.6,11,Oct,2014,1100
22,11,16,2,21,53,-0.7,1018.2,0,NNW,1.2,22,Dec,2017,100
6,28,37,7,52,12,19.1,1012.5,0,NE,0.9,8,Sep,2014,600
3,48,59,4,50,12,6.1,1017.2,0,NNW,1.7,17,Oct,2014,600
2,80,95,6,80,5,21,1012.9,0,SSE,0.9,22,Sep,2015,900
15,53,53,2,46,52,20.9,1007.2,0.3,ESE,2.3,4,Sep,2016,4000
3,68,68,2,63,42,17.7,1002.4,0,ESE,0.1,10,Jun,2015,800
19,22,22,2,25,100,23.1,1003.1,0,E,1.2,22,Jun,2015,300
11,44,71,18,33,51,3.4,1022.3,0,WSW,4,26,Feb,2017,1100
15,17,17,2,16,203,32.4,999.6,0,SW,2.2,16,Aug,2017,500
23,117,145,47,100,8,-9.4,1030.2,0,ENE,1.1,19,Jan,2017,3100
22,29,29,2,42,20,18.7,1016.2,1.9,E,1.2,17,Sep,2017,500
6,83,83,14,40,19,-3,1021,0,SW,1.6,29,Jan,2016,1400
14,84,138,16,77,30,13.1,1015.1,0,S,1.7,12,Nov,2017,1400
9,37,37,2,33,34,20.2,1000.2,6.1,W,1.3,17,Jul,2016,900
11,99,99,3,27,46,22.5,1006.1,0,N,1,12,Sep,2015,1200
23,147,240,5,40,49,19.6,1000.2,0.1,WSW,0.9,12,Sep,2014,1300
17,44,44,6,49,128,35.4,987.7,0,NNW,3,26,May,2015,400
13,14,25,14,20,67,12.3,1008.6,0,NE,3.4,5,Apr,2014,500
15,14,14,2,25,33,11.8,1013.9,0,WSW,1.1,22,Oct,2016,400
19,34,74,3,23,104,17.5,1008.9,0,SW,2.9,5,May,2015,300
0,10,13,2,15,52,12,1001.9,0,NW,1.6,16,May,2017,400
11,45,45,,51,14,15.4,1026.9,1,NW,1,29,Sep,2016,1300
8,46,144,,68,11,15.6,1004.9,0,ESE,1.6,23,Apr,2016,500
23,101,101,,70,61,29.3,997.1,0,N,0.9,11,Aug,2017,1600
1,114,147,17,32,67,15.6,1006.6,0,WSW,2.4,5,Apr,2017,900
12,22,25,13,26,45,4.8,1012.8,0,NW,5.3,8,Jan,2018,700
2,43,75,2,34,78,22,999.6,0,NNE,0.8,15,Jun,2016,700
13,85,100,8,25,108,24.7,1007,0,E,1.2,8,Sep,2014,1100
12,105,105,35,32,185,27.3,1012.6,0,SSE,2.1,20,May,2017,1500
15,160,160,3,52,224,32.2,999,0,SW,2.1,21,Aug,2015,1200
6,125,151,2,105,2,21.2,1006.9,0,NNE,0.8,19,Aug,2015,1100
11,119,119,2,40,115,24.6,997.3,0,ENE,1.1,26,Jun,2016,800
22,100,175,6,57,137,30.4,997.7,0,SW,3.4,13,Aug,2016,1700
20,52,52,2,39,173,26.6,997.5,0.1,ENE,2.4,20,Jun,2017,1900
9,29,43,53,69,13,-0.2,1026.3,0,WSW,0.5,2,Mar,2014,1600
3,51,51,2,11,29,22.1,999.3,0,ENE,0.9,20,Jul,2016,800
10,143,175,81,80,,7.3,1016.4,0,E,0.8,13,Nov,2014,3800
11,81,118,3,46,79,28.9,996.3,0,W,1.5,24,Aug,2017,1100
13,19,19,4,21,13,24.6,989.2,0.8,NW,2,15,Jul,2014,1700
5,40,52,2,24,37,15.1,999.1,0,WNW,0.9,28,Apr,2016,700
3,83,121,8,16,134,23.5,997.2,0,ENE,1,26,May,2016,1000
9,47,151,19,85,39,26.4,1002.7,0,NNW,1,30,May,2014,500
19,66,128,6,31,237,22,992.3,8.5,N,3.9,4,Aug,2014,1000
8,13,28,17,41,11.1384,8,1025.1,0,NE,1.6,11,Nov,2014,500
13,30,37,35,26,38.3418,8.1,1013.3,0,SSW,1.6,19,Nov,2014,600
7,242,242,13,103,2,-3.8,1015.2,0,NW,1,15,Feb,2018,4000
16,17,31,6,15,49,2.6,1023.2,0,NNW,1.7,27,Dec,2017,400
1,172,182,48,97,1.9278,5.7,1012.5,0,N,1.6,9,Nov,2014,3100
9,19,21,46,25,46,-4.8,1028.3,0,N,1.1,10,Feb,2015,1000
3,67,262,2,17,79,15.6,1003,0,N,1.3,14,Apr,2017,300
23,24,36,9,22,70,14.2,1005.4,0,N,1.6,29,Mar,2015,400
16,15,22,11,14,80,28.1,1001.1,0,WNW,3.4,30,Aug,2014,300
14,14,16,7,18,53,4.7,1015.2,0,SW,2.5,9,Jan,2018,400
0,50,50,23,32,24,0.1,1012.4,0,NNW,0.1,6,Dec,2014,1400
7,12,25,5.9976,53.378,11.1384,15.7,1015.6,0,NW,1.9,2,Oct,2014,1222.923
20,16,35,8,24,53,21.2,1002.8,0,NE,0.7,30,Aug,2014,400
13,21,21,2,21,54,19,1015.6,0,E,2.6,18,Oct,2016,400
23,59,106,5,48,65,15.9,998.8,0,NE,0.7,4,May,2016,600
10,46,66,2,31,58,19.6,1007.9,0,ENE,1.5,2,May,2016,700
11,59,49,8,22,67,24.2,1007.3,0,SSW,1.9,6,Sep,2014,1100
21,67,99,23,37,155,23.3,1012.2,0,SE,1.9,20,May,2017,1000
15,10,10,3,16,67,4.5,1021.7,0,S,2.5,6,Feb,2018,300
17,83,116,17,95,10,6.6,1013.2,0,ESE,3.4,7,Dec,2017,1700
11,28,28,2,23,90,19.9,1011.9,0,SE,1.6,20,Apr,2016,300
2,9,26,2,27,38,21.3,998.6,0,NNW,0.7,18,Jun,2016,400
16,97,171,20,35,257,27.8,994.2,0,NE,3.6,15,Jun,2015,1100
2,11,11,6,11,35,2.9,1025.5,0,NE,1,8,Nov,2017,600
1,251,251,5,101,2,16.2,999.3,0,NE,0.8,30,Apr,2017,2000
8,128,128,2,49,26,22.2,996.3,0,WSW,0.9,29,Jun,2017,700
18,20,31,19,34,60,2.9,1018.6,0,S,1.8,19,Feb,2015,500
19,150,165,96,101,3.8556,-0.1,1023.9,0,NNE,0,16,Dec,2014,1222.923
6,243,259,21,92,2,12.9,1013,0,NE,1.5,14,Apr,2015,2000
7,9,13,2,41,22,20.9,1009.8,0,E,1.2,28,Aug,2017,200
16,80,80,13,22,184,33.3,995.1,0,SSW,3.2,28,Jul,2015,500
5,7,10,2,41,19,19.4,999.5,0,NNW,0.9,28,Aug,2016,200
14,42,46,31,48,29,6.3,1024.5,0,E,1.6,23,Dec,2014,900
21,56,144,18,41,120,20.8,1007.2,0,SSW,1.7,7,May,2016,700
12,10,10,15,25,39,19.1,1018.5,0,ENE,2,20,Oct,2014,300
1,109,110,6,46,31.059,5.7,1019,0,NNW,1.5,1,Nov,2014,1000
22,16,55,5,16,52,-3.8,1023.5,0,WNW,4.1,25,Dec,2014,1222.923
9,23,183,5,13,92,17.5,1008.8,0,NW,4.2,28,Mar,2016,300
20,77,93,5,87,23,4.6,1026,0,SW,0.8,8,Nov,2015,1000
1,,,3,65,73,17.1,1006.1,0,NW,1,7,Oct,2016,1800
10,151,237,67,100,6,4.8,1016,0,E,0.7,19,Nov,2015,3500
15,87,155,17,88,4,14.5,1014.3,0,SSW,0.6,22,Oct,2015,900
18,45,45,2,34,99,19.4,1007.8,0,ENE,1.2,18,Mar,2017,600
0,119,131,81,88,5,-5.6,1021.7,0,N,0,23,Dec,2014,2600
8,77,155,69,91,32,17.5,1009.7,0,SE,2.3,9,May,2015,2300
11,11,91,5,32,39,7.5,1007.6,0,WNW,6.2,8,Dec,2017,800
19,36,36,2,66,109,28.9,997.8,0,N,1.1,23,Jul,2016,800
16,31,59,8,62,27,10.2,1021,0,E,1.8,22,Nov,2015,700
5,63,95,2,29,75,17.7,1005.1,0,N,0.6,10,Sep,2015,1000
10,10,21,9,16,93,33,994.2,0,ESE,1.9,19,Jun,2014,400
3,225,225,3,69,2,23.6,997.4,0,E,0.6,4,Jul,2015,1000
19,119,168,7,80,2,8.5,1005.8,0,WNW,0.6,13,Nov,2017,2300
0,57,57,2,43,101,25.7,1003.9,0,W,0.6,21,Aug,2017,900
11,,,,,,10.3,1029,0,NNW,3,24,Mar,2017,1222.923
2,11,17,9,13,66,0,1027,0,NNW,2.1,5,Feb,2017,400
1,58,67,7,55,91,24,1000.3,0,E,3.1,2,Jun,2016,1000
16,112,116,32,99,5,5.6,1012.3,0,WNW,1.1,17,Dec,2017,1900
10,17,17,17,63,17,-6.5,1036.3,0,NE,1.6,27,Dec,2016,900
14,41,67,5,35,172,28.8,1005.2,0,SSW,3.2,21,Sep,2014,500
23,139,139,2,45,149,29.8,998.1,0,ESE,2.5,29,Jul,2017,3000
23,11,29,4,15,52,21,997,0,NE,1.4,6,Jun,2016,4000
11,375,414,38,130,2,3.4,1018.3,0,E,1.1,23,Dec,2016,8700
8,,,,,,16.9,1015.7,0,NNE,1.2,27,Apr,2015,1222.923
13,95,95,6,18,234,29.6,1000.8,0,S,2.3,27,May,2016,800
12,95,132,18,85,15,12.8,1008.3,0,SSE,1.3,19,Apr,2017,2000
20,27,50,2,58,93,19.6,1014.9,0,SSE,0.5,20,Sep,2017,500
8,57,61,1,24,18,19.3,998.4,0,ENE,0,13,Sep,2014,800
10,17,37,2,43,65,25.2,1003.5,0,N,1.4,6,Aug,2016,700
19,99,104,4,112,2,4.8,1021.2,0,W,1.8,8,Nov,2016,1600
4,169,170,26,102,2,0.1,1003.7,0,NE,0.6,19,Feb,2018,2000
14,20,31,28,20,46,3.4,1024.3,0,WNW,3.8,20,Dec,2014,1100
18,20,27,7,36,56,-6.5,1017,0,NW,1.9,17,Jan,2017,700
7,44,44,2,33,2,9.9,1004.1,0,E,1.5,2,Oct,2015,1000
20,120,175,3,42,157,25.1,1007,0,E,1.5,3,Sep,2014,1300
15,158,180,6,46,214,26.875,1004,0,SW,2.3,24,Sep,2017,1100
4,167,170,8,81,3,6.6,1016.9,0,NNW,0,18,Oct,2014,1400
12,19,28,9,25,86,24.6,1009.7,0,ESE,3.2,30,Mar,2015,400
21,169,173,20,53,4,18.6,1003.3,0,ESE,2,5,Jun,2014,2500
5,117,117,8,108,2,0.3,1027,0,NE,1.4,24,Nov,2015,2100
6,45,104,11,48,21,16.2,1010.5,0,NNE,0.9,16,May,2014,800
21,20,31,,57,14,-5.1,1018.4,0,W,0.1,28,Dec,2014,700
15,14,36,12,18,60,3,1025,0,WNW,2.9,30,Jan,2016,500
13,128,128,20,34,135,17.5,1015.2,0,SSE,2.8,11,Apr,2016,1900
23,80,120,7,109,5,4,1023.6,0,E,0.5,31,Oct,2016,1800
18,152,167,3,76,126,20.9,1001.2,0,NE,0.6,2,Oct,2017,1300
0,22,31,21,29,43,-4.175,1021,0,NE,1.5,14,Jan,2018,900
6,19,32,10,32,32,2.8,1015.2,0,NW,3.5,27,Nov,2017,800
12,48,80,28,67,20,-5,1021.7,0,SSE,1.7,19,Jan,2017,1500
3,,79,2,92,8,25.4,997.9,0,ENE,1,3,Aug,2016,1300
7,155,160,5,61,4,8.1,1018.2,0,N,0,18,Oct,2014,1400
1,21,68,6,12,48,-1,1010,0,N,3.1,23,Feb,2016,400
9,101,151,10,88,2,12,1019.7,0,ENE,1.6,29,Oct,2015,1200
18,6,62,2,9,67,6.6,1018,0,NW,6,12,Nov,2015,300
21,56,139,2,148,4,21,1011.5,0,NE,0.2,27,Sep,2016,2300
11,57,115,9,84,14,15.5,1013.1,0,S,1,19,Oct,2016,1300
12,31,37,3,20,174,29.2,993.5,0,ESE,2.7,27,Jun,2017,300
22,127,189,19,99,1,19.8,1008.5,0,NE,0.6,22,Sep,2014,2700
21,3,17,2,9,76,2,1022,0,N,3.1,4,Feb,2016,300
22,163,184,54,,9,-4.8,1023.9,0,E,0.7,27,Jan,2017,3200
16,152,152,3,51,234,26.275,1006,0,SE,2.4,23,Sep,2017,1100
7,86,102,25,58,19,20.3,1007.6,0,NE,0.9,23,May,2017,1500
8,88,106,3,74,2,-2.1,1014.3,0,WSW,0.4,3,Dec,2017,3100
17,29,42,11,40,77,6,1012,0,WSW,3,12,Feb,2016,600
23,97,183,4,60,25,13.9,1007.5,0,ESE,0.8,19,Apr,2016,1200
3,118,125,2,68,10,21.5,995.8,0.1,NW,1,29,May,2016,1400
9,101,115,48,87,4,-3.3,1027.1,0,N,0.6,24,Dec,2014,3200
2,55,55,2,39,60,29.5,993.6,0,W,1.2,21,Jul,2015,300
14,26,26,10,16,80,5.4,1027.5,0,WSW,3,24,Feb,2017,600
21,106,144,5,34,174,30.1,1001.7,0,ESE,2.7,8,Jul,2016,900
10,19,83,21,26,45,12.5,1013.8,0,WNW,4.5,23,Oct,2014,400
14,169,179,5,94,11,21.5,1009.7,0,SW,1.7,25,Sep,2015,1300
16,13,13,2,52,50,17.6,1002.6,0.1,WNW,1.1,5,Sep,2016,300
3,170,200,20,111,3,0.6,1008.1,0,WNW,0.7,8,Dec,2017,4000
17,12,34,2,8,81,32.9,998.3,0,NW,3.3,2,Jun,2016,200
18,21,59,4,34,70,6.8,1010.3,0,S,2.9,11,Mar,2017,500
3,11,16,8,7,41,-3.3,1028.8,0,NNE,2.3,21,Jan,2015,400
6,206,226,60,97,8,-7,1005,0,ENE,1.2,4,Jan,2016,5400
6,5,19,3,34,19.278,12,1015.4,0,NW,2.1,2,Oct,2014,1222.923
16,85,91,3,44,147,27.5,1008.4,0,W,1,29,Aug,2015,1000
19,294,316,24,141,40,16,1016.4,0,N,0.2,5,Oct,2014,2100
11,10,23,7,26,42,28.4,1000.5,0,WNW,3.2,9,Sep,2017,700
9,52,104,28,72,29,19.9,1003.7,0,SE,1.9,27,Apr,2014,1100
10,29,29,2,48,9,12.3,1011.3,0.7,E,1.5,7,Oct,2017,2100
18,,,,,,-0.2,1015,0,WSW,2.2,21,Dec,2015,1222.923
18,62,103,2,65,2,14.8,1020.2,11.7,ENE,2.5,6,Oct,2017,1700
21,128,128,2,30,70,21.2,1002.2,0.2,ESE,0.8,28,Jun,2017,1000
7,13,17,2,11,73,4.2,1027.8,0,NE,3,6,Apr,2016,200
23,56,81,9,79,2,-2.4,1026,0,,0,9,Dec,2017,1600
7,21,21,2,22,41,1,1015.9,0,NNW,2.8,22,Dec,2017,700
21,105,182,17,20,173,26.6,998.4,0,E,2.3,26,Aug,2014,1400
15,25,76,5,60,19,6.9,1017,0,WNW,1.1,27,Nov,2015,800
23,34,100,14,44,105,21.5,1006.3,0,SW,4.8,21,May,2016,600
15,89,123,37,47,144,23.2,997.7,0,ESE,2.3,26,Apr,2014,700
13,8,29,12,24,46,18.4,1015.6,0,WNW,7.2,19,Oct,2014,300
1,184,212,10,101,3,-0.1,1009.2,0,NW,1.2,8,Dec,2017,3600
9,194,171,18,63,8,12.3,1017.6,0,N,0.4,18,Oct,2014,1500
7,58,46,3,16,75,24.1,994.5,4.8,N,0.1,8,Jul,2014,900
15,147,171,75,83,50,10.6,1009.6,0,E,2.8,8,Mar,2015,2100
10,13,46,5,20,59,18.1,1002.4,0,N,2.4,14,May,2015,300
23,49,109,3,51,103,27,997.3,0,SE,2.7,21,Jun,2016,700
3,82,85,25,48,14,-1.1,1011.6,0,NNE,0.2,6,Dec,2014,2300
